# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
HD 89744 b	Confirmed	10.32	1.38	2.43	8.35	0.18	0.18				256.78	0.02	0.02	0.917	0.009	0.009	0.677	0.003	0.003	54.0	12.0	12.0	0.022	2000	2019-03-05	193.7	0.4	0.4																			964.0	2.0	2.0	269.66	1.45	1.45										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 89744	155.5416667	41.2294444	5.74					40.0			0.18			1.4	0.09	0.09	2.14	0.1	0.1	F7 V	2.04			6196.0	43.0	43.0			
HD 89744 c	Confirmed				5.36	4.57	4.57				6974.0	2161.0	2161.0	8.3	1.8	1.8	0.29	0.12	0.12					2013	2019-03-05	174.0	26.0	26.0																						45.1	38.5	38.5										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 89744	155.5416667	41.2294444	5.74					40.0			0.18			1.4	0.09	0.09	2.14	0.1	0.1	F7 V	2.04			6196.0	43.0	43.0			
HD 90156 b	Confirmed				0.057	0.0046	0.0046				49.77	0.07	0.07	0.25	0.004	0.004	0.31	0.1	0.1				0.006313	2009	2010-10-05	113.0	18.0	18.0																																		Submitted to a professional journal	Radial Velocity					HD 90156	155.9791667	-29.6455556	6.95					39.6	0.66	0.66	-0.24	0.01	0.01	0.84						G5V	4.4			5599.0	12.0	12.0			
HD 9174 b	Confirmed				1.11	0.14	0.14				1179.0	34.0	34.0	2.2	0.09	0.09	0.12	0.05	0.05					2016	2016-04-02	101.0	38.0	38.0																						20.8	2.2	2.2										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 9174	22.504166667	-19.60444446	8.4					78.93	3.86	3.86	0.39	0.1	0.1	1.03	0.05	0.05	1.67	0.07	0.07	G8IV	9.0	3.0	3.0	5577.0	100.0	100.0			
HD 92788 b	Confirmed	27.02	13.96	inf	3.76	0.16	0.16				325.8	0.04	0.04	0.97	0.02	0.02	0.35	0.005	0.005	8.0	8.0	8.0	0.029555	2000	2019-04-03	277.83	1.0	1.0	2455647.14	0.73	0.73																			108.24	0.84	0.84										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 92788	160.7	-2.1836111	7.31					32.82	0.06	0.06	0.27	0.02	0.02	1.15	0.07	0.07	1.14	0.02	0.02	G5	2.55	1.51	1.51	5744.0	24.0	24.0			
HD 92788 c	Confirmed				3.76	0.16	0.16				11611.3	906.0	5055.0	10.5	0.55	2.9	0.46	0.03	0.12					2013	2019-04-03	334.3	8.9	6.6	2456858.0	200.0	130.0																			33.3	1.9	2.3										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 92788	160.7	-2.1836111	7.31					32.82	0.06	0.06	0.27	0.02	0.02	1.15	0.07	0.07	1.14	0.02	0.02	G5	2.55	1.51	1.51	5744.0	24.0	24.0			
HD 92987 b	Confirmed				17.9	1.9	2.4				10790.0	800.0	850.0	9.75	0.6	0.6	0.25	0.03	0.03					2019	2019-05-02	198.4	8.0	6.9	2457889.0	180.0	130.0																			162.0	8.8	14.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 92987	160.900000012	-39.058611119	7.0					43.66	0.06	0.06	-0.08	0.08	0.08	1.08	0.06	0.06	1.58	0.04	0.04	G2/3V	7.75	0.31	0.31	5779.0	36.0	36.0			
HD 93083 b	Confirmed				0.37						143.58	0.6	0.6	0.477			0.14	0.03	0.03				0.016505	2005	2014-08-30	333.5	7.9	7.9	2453181.7	3.0	3.0																															Published in a refereed paper	Radial Velocity					HD 93083	161.0833333	-33.5769444	8.3					28.9			0.15	0.06	0.06	0.7	0.04	0.04				K3 V	6.0			4995.0	50.0	50.0			
HD 93385 A b	Confirmed				0.0263	0.00276	0.00276				13.186	0.0059	0.0059	0.1116	0.0018	0.0018	0.15	0.11	0.11				0.002645	2011	2019-12-12																																					Submitted to a professional journal	Radial Velocity			HD 93385 b		HD 93385 A	161.5625	-41.4644444	7.49					42.2	1.2	1.2										G2V									HD 93385
HD 93385 A c	Confirmed				0.0318	0.00399	0.00399				46.025	0.00725	0.00725	0.257	0.0043	0.0043	0.24	0.18	0.18				0.00609	2011	2019-12-12																																					Submitted to a professional journal	Radial Velocity			HD 93385 c		HD 93385 A	161.5625	-41.4644444	7.49					42.2	1.2	1.2										G2V									HD 93385
HD 9446 b	Confirmed				0.687	0.056	0.056				30.0608	0.0032	0.0032	0.1892	0.006	0.006	0.214	0.04	0.04				0.003566	2010	2020-03-06	239.0	11.4	11.4	2454854.4	2.0	2.0																			46.0	2.0	2.0										Published in a refereed paper	Radial Velocity	Spectrum				HD 9446	23.3333333	29.2652778	8.35					53.0	3.0	3.0	0.09	0.05	0.05	1.0	0.1	0.1	1.0			G5V				5793.0	22.0	22.0			
HD 9446 c	Confirmed				1.7	0.13	0.13				189.6	0.13	0.13	0.646	0.022	0.022	0.071	0.03	0.03				0.01234	2010	2020-03-06	227.6			2454510.0	70.0	70.0																			60.8	2.0	2.0										Published in a refereed paper	Radial Velocity	Spectrum				HD 9446	23.3333333	29.2652778	8.35					53.0	3.0	3.0	0.09	0.05	0.05	1.0	0.1	0.1	1.0			G5V				5793.0	22.0	22.0			
HD 94834 b	Confirmed				1.26	0.17	0.17	1.242			1576.0	76.0	76.0	2.74	0.19	0.19	0.14	0.1	0.1					2018	2018-12-20	38.0	41.0	41.0	2456100.0	190.0	190.0																			20.7	2.9	2.9										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 94834	164.31297	24.14278	7.6					81.0						1.11			4.2			K1				4798.0					
HD 95089 b	Confirmed				1.2	0.1	0.1				507.0	16.0	16.0	1.51	0.05	0.05	0.157	0.086	0.086				0.010863	2010	2010-03-18	317.0	60.0	60.0	2454983.0	90.0	90.0																															Submitted to a professional journal	Radial Velocity					HD 95089	164.7	1.7291667	7.92					139.0	16.0	16.0	0.05	0.03	0.03	1.58	0.11	0.11	4.9	0.1	0.1	K0 IV	2.5	0.9	0.9	5002.0	44.0	44.0			
HD 95089 c	Confirmed				3.97	0.59	0.13				1860.0	570.0	370.0				0.294	0.07	0.07					2010	2018-11-16	74.6	9.8	8.1	2455492.0	50.0	43.0																			46.1	4.7	5.4										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 95089	164.7	1.7291667	7.92					139.0	16.0	16.0	0.05	0.03	0.03	1.58	0.11	0.11	4.9	0.1	0.1	K0 IV	2.5	0.9	0.9	5002.0	44.0	44.0			
HD 95127 b	Confirmed				5.01	0.44	0.61				482.0	5.0	5.0	1.28	0.01	0.01	0.11	0.06	0.15					2015	2016-01-10	40.0	40.0	40.0	2453200.0	50.0	50.0																			116.0	9.0	16.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 95127	164.895833345	43.814444472	8.15					300.0	100.0	100.0	-0.18	0.05	0.05	1.2	0.22	0.22	20.0	9.0	9.0	K0	5.5	4.7	2.5	4218.0	69.0	69.0			
HD 9578 b	Confirmed				0.62						494.0													2009	2010-12-05																																					Submitted to a professional journal	Radial Velocity					HD 9578	23.3208333	-38.245	8.21					57.24	2.9	2.9	0.11			1.12						G1V									
HD 95872 b	Confirmed				4.6	0.3	0.3				4375.0	169.0	169.0	5.2	0.1	0.1	0.06	0.04	0.04					2015	2015-12-10	17.0	67.0	67.0	2449869.0	744.0	744.0																			59.0	4.0	4.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 95872	165.866666676	-22.093888899	9.9					72.3704	0.178	0.178	0.41	0.09	0.09	0.95	0.04	0.04	0.93928087	0.105394	0.0484898	K0V	10.0	3.7	3.7	5312.0	100.0	100.0			
HD 96063 b	Confirmed				0.9	0.1	0.1				361.1	9.9	9.9	0.99	0.03	0.03	0.28	inf	nan				0.006266	2011	2011-09-01	90.0	100.0	100.0	2455260.0	120.0	120.0																															Published in a refereed paper	Radial Velocity					HD 96063	166.1833333	-2.5133333	8.37					158.0	20.0	20.0	-0.3	0.03	0.03	1.02	0.072	0.072	4.5	0.1	0.1	K0	9.0	3.0	3.0	5148.0	44.0	44.0			
HD 96127 b	Confirmed				4.0						647.3	16.8	16.8	1.4			0.3	0.1	0.1				0.002593	2011	2011-10-10	162.0	18.2	18.2	43969.4	31.0	31.0																															Submitted to a professional journal	Radial Velocity					HD 96127	166.4416667	44.3016667	7.43					540.0	26.0	26.0	-0.24	0.1	0.1	0.91	0.25	0.25	35.0	17.0	17.0	K2III				4152.0	23.0	23.0			
HD 96167 b	Confirmed				0.68	0.18	0.18				498.9	1.0	1.0	1.3	0.07	0.07	0.71	0.04	0.04				0.015476	2009	2009-04-20	285.0	7.0	7.0	2453057.0	5.0	5.0																															Published in a refereed paper	Radial Velocity					HD 96167	166.3125	-10.2913889	8.09					84.0	9.0	9.0	0.34	0.06	0.06	1.31	0.09	0.09	1.86	0.07	0.07	G5D	3.8	1.0	1.0	5770.0	70.0	70.0			
HD 96700 b	Confirmed				0.0284	0.002	0.002				8.1256	0.0013	0.0013	0.0774	0.0012	0.0012	0.1	0.05	0.05				0.003023	2011	2011-09-11																																					Submitted to a professional journal	Radial Velocity					HD 96700	166.975	-30.1744444	6.5					25.6	0.3	0.3										G0V									
HD 96700 c	Confirmed				0.04	0.005	0.005				103.49	0.5794	0.5794	0.422	0.0073	0.0073	0.37	0.19	0.19				0.016484	2011	2011-09-11																																					Submitted to a professional journal	Radial Velocity					HD 96700	166.975	-30.1744444	6.5					25.6	0.3	0.3										G0V									
HD 97619 b	Confirmed				3.5	1.3	1.3				665.9	9.5	9.5	1.6	0.1	0.1	0.23	0.17	0.17					2018	2018-08-15	293.53	23.97	23.97	2455238.0	55.0	55.0																			68.0	6.0	6.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 97619	169.037160953	78.3089573367	6.882					213.0	16.0	16.0	-0.07	0.07	0.07	1.3	0.1	0.1	16.7	1.3	1.3	K0 E	4.9	1.7	1.7	4355.0	20.0	20.0			
HD 98219 b	Confirmed				1.8	0.1	0.1				436.9	4.5	4.5	1.23	0.03	0.03	0.112	0.0	1.888				0.009179	2011	2021-04-13	57.0	30.0	30.0	2455140.0	40.0	40.0																															Published in a refereed paper	Radial Velocity					HD 98219	169.45	-23.9752778	8.21					134.0	12.0	12.0	-0.02	0.03	0.03	1.3	0.091	0.091	4.5	0.1	0.1	K0III/IV	4.0	1.0	1.0	4992.0	44.0	44.0			
HD 98649 b	Confirmed				6.79	0.3	0.5				6023.0	256.0	413.0	6.57	0.23	0.31	0.86	0.02	0.04					2011	2019-04-03	252.6	7.0	2.0	2455121.7	28.0	16.8																			140.1	6.1	33.1										Submitted to a professional journal	Radial Velocity	Radial Velocity				HD 98649	170.2166667	-23.2172222	8.0					40.3	1.3	1.3	0.05	0.04	0.04	1.03	0.06	0.06	1.01	0.02	0.02	G4V	2.42	1.62	1.62	5790.0	58.0	58.0			
HD 98736 b	Confirmed				2.33	0.78	0.78				968.8	2.2	2.2	1.864	0.091	0.091	0.226	0.064	0.064					2018	2018-09-18	162.0	22.0	22.0	2463541.0	67.0	67.0																			52.0	12.0	12.0										Published in a refereed paper	Radial Velocity	Radial Velocity		HD 98736 A b		HD 98736	170.454166683	18.190000009	8.52					31.0			0.24			0.92	0.13	0.13	0.93	0.04	0.04	G5	7.4	3.0	3.0	5544.0					HD 98736 A
HD 99109 b	Confirmed				0.502	0.07	0.07				439.3	5.6	5.6	1.105	0.065	0.065	0.09	0.16	0.16				0.018264	2006	2006-07-14	256.0			11310.0	80.0	80.0																															Published in a refereed paper	Radial Velocity					HD 99109	171.0708333	-1.5288889	9.1					60.5	4.8	4.8	0.315			0.93						K0	12.2	nan	inf	5272.0					
HD 99492 b	Confirmed				0.079	0.006	0.006				17.054	0.003	0.003	0.123	0.001	0.001	0.07	0.06	0.06				0.006844	2004	2016-03-03	240.7	75.4	75.4	2453776.317	3.39	3.39																			6.98	0.53	0.53										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 99492	171.6916667	3.0061111	7.38					18.0	1.14	1.14	0.36			0.83			0.96	0.11	0.11	K2V	4.0			4740.0					
HD 99706 b	Confirmed				1.4	0.1	0.1				868.0	31.0	31.0	2.14	0.08	0.08	0.365	0.1	0.1				0.016589	2011	2011-09-01	359.0	20.0	20.0	2455219.0	30.0	30.0																															Published in a refereed paper	Radial Velocity					HD 99706	172.125	43.9666667	7.81					129.0	11.0	11.0	0.14	0.03	0.03	1.72	0.12	0.12	5.4	0.1	0.1	K0	2.1	0.4	0.4	4932.0	44.0	44.0			
HD 99706 c	Confirmed				5.69	0.96	1.43				1123.0	198.0	151.0				0.411	0.18	0.23					2010	2018-11-16	136.0	64.0	64.0	2455383.0	140.0	249.0																			13.8	25.0	29.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 99706	172.125	43.9666667	7.81					129.0	11.0	11.0	0.14	0.03	0.03	1.72	0.12	0.12	5.4	0.1	0.1	K0	2.1	0.4	0.4	4932.0	44.0	44.0			
HIP 105854 b	Confirmed				5.35	0.85	0.85				184.2	0.5	0.5	0.655	0.05	0.05	0.02	0.03	0.03					2014	2019-09-17	343.2	4.9	4.9	2455262.4	2.4	2.4																															Published in a refereed paper	Radial Velocity	Radial Velocity		HD 203949		HIP 105854	321.595833341	-37.829444471	5.64					80.84			0.31	0.18	0.18	2.1	0.1	0.1				K2III				4780.0	100.0	100.0			
HIP 107772 b	Confirmed				0.0406	0.009	0.009				55.19	0.083	0.083	0.243	0.011	0.011	0.18	0.11	0.11					2020	2020-08-20	151.0	72.0	72.0	2453199.6	11.2	11.2																			3.01	0.65	0.65										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 107772	327.5	-41.245000014						23.66	0.024	0.024										M0V									
HIP 107773 b	Confirmed				1.98	0.21	0.21				144.3	0.5	0.5	0.72	0.03	0.03	0.09	0.06	0.06					2015	2015-05-29	166.0	33.0	33.0	2456202.3	12.8	12.8																			42.7	2.7	2.7										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 107773	327.5	-64.712500024	5.62					106.0	4.0	4.0	0.03	0.1	0.1	2.42	0.27	0.27	11.6	1.4	1.4					4945.0	100.0	100.0			
HIP 109384 b	Confirmed				1.56	0.08	0.08				499.48	0.32	0.32	1.134	0.029	0.029	0.549	0.003	0.003					2016	2016-02-17	104.49	0.37	0.37	2456337.02	0.34	0.34																			56.53	0.22	0.22										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 109384	332.1333	71.3144	9.63					56.2	2.7	2.7	-0.26	0.03	0.03	0.78	0.06	0.06				G5				5180.0	65.0	65.0			
HIP 109600 b	Confirmed				2.68	0.12	0.12				232.08	0.15	0.15	0.706	0.016	0.016	0.163	0.006	0.006					2016	2016-02-17	228.7	1.6	1.6	2456017.1	1.1	1.1																			98.6	0.5	0.5										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 109600	333.025000002	29.065833347	9.16					58.6	3.2	3.2	-0.12	0.02	0.02	0.87	0.06	0.06				G5				5530.0	35.0	35.0			
HIP 114933 b	Confirmed				1.94	0.17	0.17				1481.6	61.7	61.7	2.84	0.08	0.08	0.21	0.08	0.08					2020	2021-03-30	134.2	29.9	29.9	2455059.4	104.6	104.6																			28.4	2.5	2.5										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 114933	349.20833335	-21.203055562	7.25					102.06	0.5	0.5	0.06	0.06	0.06	1.39	0.09	0.09	5.27	0.05	0.05	K0III				4824.0	60.0	60.0			
HIP 11915	Confirmed				0.99	0.06	0.06				3830.0	150.0	150.0	4.8	0.1	0.1	0.1	0.07	0.07					2015	2015-07-17	155.0	40.0	40.0																						12.9	0.8	0.8										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 11915	38.454166683	-19.611944466	8.58					57.3	3.5	3.5	-0.059	0.004	0.004	1.0						G5V	4.0	0.6	0.6	5760.0	4.0	4.0			
HIP 12961 b	Confirmed				0.35						57.435	0.042	0.042	0.13			0.16	0.03	0.03				0.005652	2009	2011-11-22	272.0	13.0	13.0	2454428.4	2.0	2.0																															Published in a refereed paper	Radial Velocity					HIP 12961	41.6791667	-23.0866667	10.31					23.0	0.9	0.9	-0.07			0.67						M0V									
HIP 14810 b	Confirmed				3.88	0.32	0.32				6.673855	1.9e-05	1.9e-05	0.0692	0.004	0.004	0.1427	0.00094	0.00094				0.001308	2006	2013-05-20	159.32	0.38	0.38	3694.598	0.007	0.007																															Published in a refereed paper	Radial Velocity					HIP 14810	47.8083333	21.0972222	8.52					52.9	4.1	4.1	0.26	0.03	0.03	0.99	0.04	0.04	1.0	0.06	0.06	G5				5485.0	44.0	44.0			
HIP 14810 c	Confirmed				1.28	0.1	0.1				147.73	0.065	0.065	0.545	0.031	0.031	0.164	0.012	0.012				0.010302	2006	2013-05-20	329.0	2.5	2.5	4672.24	0.0073	0.0073																															Submitted to a professional journal	Radial Velocity					HIP 14810	47.8083333	21.0972222	8.52					52.9	4.1	4.1	0.26	0.03	0.03	0.99	0.04	0.04	1.0	0.06	0.06	G5				5485.0	44.0	44.0			
HIP 14810 d	Confirmed				0.57	0.052	0.052				962.0	15.0	15.0	1.89	0.11	0.11	0.173	0.037	0.037				0.035728	2009	2013-05-20	286.0	19.0	19.0	4317.198	0.0073	0.0073																															Published in a refereed paper	Radial Velocity					HIP 14810	47.8083333	21.0972222	8.52					52.9	4.1	4.1	0.26	0.03	0.03	0.99	0.04	0.04	1.0	0.06	0.06	G5				5485.0	44.0	44.0			
HIP 3206 b	Confirmed				0.173	0.014	0.014				1211.0	16.0	16.0	2.108	0.033	0.033	0.298	0.071	0.078					2021	2021-05-27	297.0	18.2	148.0				2455607.0	54.0	54.0																												Published in a refereed paper	Radial Velocity	Radial Velocity		HD 3765 b		HIP 3206	147.204166683	40.187222229																		K2V									HD 3765
HIP 35173 b	Confirmed				0.04	0.0085	0.0085				41.516	0.077	0.077	0.217	0.004	0.004	0.16	0.11	0.11					2019	2019-05-20	10.73	96.4	96.4																						2.8	0.6	0.6										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 35173	109.04	-3.67						33.19	0.07	0.07				0.79	0.05	0.05				K2V				4881.0	81.0	55.0			
HIP 36985 b	Confirmed				29.0	16.0	18.0				8500.0	1900.0	1900.0	7.0	1.0	1.0	0.55	0.04	0.04					2019	2019-12-06	50.0	67.0	67.0																						480.0	230.0	230.0										Published in a refereed paper	Radial Velocity	Spectrum				HIP 36985	114.033333336	-3.110833344	9.9					14.07						0.621						M1V	0.26	0.26	0.42						
HIP 38594 b	Confirmed				0.0255	0.0053	0.0053				60.722	0.122	0.122	0.256	0.003	0.003	0.17	0.11	0.11					2020	2020-08-20	125.0	100.0	100.0	2452956.2	13.9	13.9																			1.89	0.4	0.4										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 38594	118.545833337	-25.303055564	9.7					17.798	0.005	0.005										M0									
HIP 38594 c	Confirmed				0.1523	0.0233	0.0233				3477.8	229.0	229.0	3.805	0.172	0.172	0.16	0.1	0.1					2020	2020-08-20	196.0	68.0	68.0	2451246.7	1338.0	1338.0																			2.89	0.4	0.4										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 38594	118.545833337	-25.303055564	9.7					17.798	0.005	0.005										M0									
HIP 41378 g	Confirmed				0.022	0.0047	0.0047				62.06	0.32	0.32	0.3227	0.0036	0.0036	0.06	0.04	0.06					2019	2021-04-14																												605.0	4.7	4.7							Submitted to a professional journal	Radial Velocity	TTV				HIP 41378	126.616666676	10.08027779	8.9					116.0	18.0	18.0	-0.11	0.08	0.08	1.15	0.064	0.064	1.4	0.19	0.19					6199.0	50.0	50.0			
HIP 4845 b	Confirmed				0.0453						34.15	0.046	0.046	0.176	0.007	0.007	0.25	0.14	0.14					2020	2020-08-20	108.0	72.0	72.0	2454702.0	5.6	5.6																			4.05	0.86	0.86										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 4845	15.587500007	-10.423888903						21.11	0.02	0.02										M0V									
HIP 48714 b	Confirmed				0.0721	0.0088	0.0088				17.818	0.002	0.002	0.112	0.003	0.003	0.5	0.08	0.08					2020	2020-11-12	202.0	14.0	14.0	2451539.8	1.0	1.0																			9.35	1.3	1.3										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 48714	149.037500003	62.788333353	9.2					10.533	0.005	0.005										M0.5V									
HIP 5158 b	Confirmed				1.44	0.14	0.14				345.63	1.99	1.99	0.89	0.01	0.01	0.54	0.04	0.04				0.019778	2009	2011-05-05	70.0	4.0	4.0	54580.49	15.2	15.2																															Submitted to a professional journal	Radial Velocity					HIP 5158	16.5083333	-22.4530556	10.21					45.0	4.0	4.0	0.1	0.07	0.07	0.78	0.021	0.021				K5V	6.0	inf	nan	4962.0	89.0	89.0			
HIP 5158 c	Confirmed				15.04	10.55	10.55				9018.0	3181.0	3181.0	7.7	1.88	1.88	0.14	0.1	0.1				0.171111	2010	2011-05-05	142.0	75.0	75.0																																		Published in a refereed paper	Radial Velocity					HIP 5158	16.5083333	-22.4530556	10.21					45.0	4.0	4.0	0.1	0.07	0.07	0.78	0.021	0.021				K5V	6.0	inf	nan	4962.0	89.0	89.0			
HIP 54373 b	Confirmed				0.02712	0.00579	0.00579				7.76	0.003	0.003	0.063	0.001	0.001	0.2	0.11	0.11					2019	2019-05-17	72.34	44.58	44.58																						4.19	0.87	0.87										Published in a refereed paper	Radial Velocity					HIP 54373	166.86	-19.29						18.73	0.04	0.04				0.57	0.03	0.03				K5V				4021.0	146.0	226.0			
HIP 54373 c	Confirmed				0.03914	0.0066	0.0066				15.144	0.008	0.008	0.099	0.002	0.002	0.2	0.12	0.12					2019	2019-05-17	122.37	60.04	60.04																						4.84	0.79	0.79										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 54373	166.86	-19.29						18.73	0.04	0.04				0.57	0.03	0.03				K5V				4021.0	146.0	226.0			
HIP 56640 b	Confirmed				3.67	0.14	0.14				2574.9	86.1	86.1	3.73	0.08	0.08	0.12	0.04	0.04					2020	2021-03-29	157.2	41.5	41.5	2454813.9	347.5	347.5																			53.3	2.0	2.0										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 56640	174.16666668	-37.039166672	7.9					122.76	0.6	0.6	-0.03	0.05	0.05	1.04	0.07	0.07	4.93	0.05	0.05	K1III				4769.0	55.0	55.0			
HIP 57050 b	Confirmed				0.304	0.004	0.003				41.38	0.002	0.001	0.166	0.001	0.001	0.375	0.009	0.008				0.014864	2010	2020-02-04	258.7	1.7	1.7				2455201.40024																		38.54	0.43	0.43										Published in a refereed paper	Radial Velocity	Spectrum		GJ 1148 b		HIP 57050	175.4375	42.7519444	11.9					11.02	0.1	0.1	0.13	0.16	0.16	0.354	0.015	0.015	0.353	0.014	0.014	M4V				3358.0	51.0	51.0			GJ 1148, 2MASS J11414471+4245072
HIP 57050 c	Confirmed				0.227	0.022	0.001				532.635	1.0	1.0	0.91	0.001	0.001	0.375	0.041	0.036					2017	2020-02-04	276.0	8.0	6.9	2451581.046																					12.26	6.6	6.6										Published in a refereed paper	Radial Velocity	Spectrum		GJ 1148 c		HIP 57050	175.4375	42.7519444	11.9					11.02	0.1	0.1	0.13	0.16	0.16	0.354	0.015	0.015	0.353	0.014	0.014	M4V				3358.0	51.0	51.0			GJ 1148, 2MASS J11414471+4245072
HIP 57274 b	Confirmed				0.036	0.004	0.004				8.1352	0.004	0.004	0.07			0.187	0.1	0.1				0.002701	2011	2013-05-20	81.0	59.0	59.0	2454801.015	1.3	1.3																															Submitted to a professional journal	Radial Velocity					HIP 57274	176.1708333	30.9591667	8.96					25.92			0.09	0.05	0.05	0.73	0.05	0.05	0.68	0.03	0.03	K5V	7.87	5.0	5.0	4640.0	100.0	100.0			
HIP 57274 c	Confirmed				0.41	0.01	0.01				32.03	0.02	0.02	0.178			0.05	0.02	0.02				0.006867	2011	2013-05-20	256.2	120.0	120.0	2455793.035	0.176	0.176																															Submitted to a professional journal	Radial Velocity					HIP 57274	176.1708333	30.9591667	8.96					25.92			0.09	0.05	0.05	0.73	0.05	0.05	0.68	0.03	0.03	K5V	7.87	5.0	5.0	4640.0	100.0	100.0			
HIP 57274 d	Confirmed				0.527	0.025	0.025				431.7	8.5	8.5	1.01			0.27	0.05	0.05				0.038966	2011	2013-05-20	187.2	0.5	0.5																																		Submitted to a professional journal	Radial Velocity					HIP 57274	176.1708333	30.9591667	8.96					25.92			0.09	0.05	0.05	0.73	0.05	0.05	0.68	0.03	0.03	K5V	7.87	5.0	5.0	4640.0	100.0	100.0			
HIP 63242 b	Confirmed				9.18						124.6			0.565			0.23							2013	2013-07-21	118.2			2455376.2																																	Published in a refereed paper	Radial Velocity					HIP 63242	194.3833	-65.6464	6.86					135.0	8.9	8.9	-0.31	0.09	0.09	1.54	0.05	0.05				G8III									
HIP 65407 b	Confirmed				0.428	0.032	0.032				28.125	0.019	0.019	0.177	0.05	0.05	0.14	0.07	0.07					2016	2016-02-17	50.0	150.0	150.0	2456990.8	2.5	2.5																			30.5	1.6	1.6										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 65407	201.087500007	48.885000019	9.42					16.74	1.28	1.28	0.25	0.04	0.04	0.93	0.07	0.07				K0				5460.0	50.0	50.0			
HIP 65407 c	Confirmed				0.784	0.054	0.054				67.3	0.08	0.08	0.316	0.008	0.008	0.12	0.04	0.04					2016	2016-02-17	341.0	25.0	25.0	2457047.0	6.0	6.0																			41.5	1.9	1.9										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 65407	201.087500007	48.885000019	9.42					16.74	1.28	1.28	0.25	0.04	0.04	0.93	0.07	0.07				K0				5460.0	50.0	50.0			
HIP 65891 b	Confirmed				6.0	0.5	0.5				1084.5	23.2	23.2	2.81	0.09	0.09	0.13	0.05	0.05					2015	2015-05-29	355.5	15.5	15.5	2456014.8	49.3	49.3																			64.9	2.4	2.4										Published in a refereed paper	Radial Velocity	Radial Velocity				HIP 65891	202.604166675	-58.664444469	6.75					136.0	1.0	1.0	0.16	0.1	0.1	2.5	0.21	0.21	8.93	1.02	1.02	K0III				5000.0	100.0	100.0			
